date,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR
2024-05-25,31.72,37.26,27.99,63.88,4.2,0.13
2024-05-26,31.72,37.53,28.64,64.31,4.32,0.16
2024-05-27,31.81,36.98,28.57,64.38,4.89,0.05
2024-05-28,32.13,37.1,28.86,62.56,5.26,0.07
2024-05-29,31.96,36.73,28.92,66.32,4.91,0.19
2024-05-30,32.05,37.55,28.29,65.76,4.36,0.13
2024-05-31,32.31,38.53,27.76,64.91,3.82,0.11
2024-06-01,32.53,38.1,28.47,62.81,4.04,0.23
2024-06-02,32.38,38.26,28.69,59.97,3.5,0.29
2024-06-03,31.6,36.51,28.44,64.97,3.3,5.19
2024-06-04,30.87,35.38,28.21,72.2,2.58,7.05
2024-06-05,30.86,35.45,27.89,72.27,2.9,4.87
2024-06-06,31.05,36.18,27.94,69.4,3.19,2.85
2024-06-07,30.42,34.21,27.86,72.29,3.12,2.26
2024-06-08,29.23,32.65,26.87,78.47,3.26,23.64
2024-06-09,28.34,30.29,26.95,85.79,2.74,30.5
2024-06-10,28.59,31.67,26.55,80.76,2.85,20.5
2024-06-11,28.42,31.44,26.72,80.31,3.39,7.2
2024-06-12,29.08,32.44,26.59,80.52,3.84,5.78
2024-06-13,29.49,33.03,26.97,79.0,3.85,15.41
2024-06-14,29.24,32.43,26.71,82.54,3.88,14.07
2024-06-15,29.6,33.28,26.9,79.56,3.5,3.19
2024-06-16,29.55,33.66,26.7,77.76,2.61,2.12
2024-06-17,29.24,32.69,26.88,80.44,3.24,4.3
2024-06-18,28.68,32.06,26.75,82.82,3.91,16.5
2024-06-19,28.79,31.35,26.75,82.59,5.4,22.81
2024-06-20,28.83,31.28,27.05,84.56,5.94,32.23
2024-06-21,29.34,31.94,27.53,84.46,5.12,16.57
2024-06-22,29.62,32.5,27.55,82.99,3.31,12.65
2024-06-23,28.7,31.42,26.57,83.23,2.82,13.84
2024-06-24,29.0,33.78,25.59,79.69,2.81,11.49
2024-06-25,28.36,31.88,25.7,82.67,3.33,4.34
2024-06-26,27.95,31.05,25.27,87.6,3.81,20.03
2024-06-27,27.85,29.75,26.84,91.26,8.18,39.71
2024-06-28,27.41,28.33,26.63,92.0,8.29,42.02
2024-06-29,28.45,31.07,26.7,87.34,6.36,20.19
2024-06-30,28.24,30.87,26.46,87.47,6.79,12.74
2024-07-01,28.34,30.71,26.9,86.08,8.88,23.8
2024-07-02,28.15,29.97,26.99,88.01,8.8,25.75
2024-07-03,28.36,31.09,26.73,85.66,7.05,6.79
2024-07-04,28.05,30.15,26.45,87.24,6.02,13.04
2024-07-05,28.0,29.92,26.7,88.6,6.63,18.03
2024-07-06,28.03,29.98,26.7,88.61,7.35,39.52
2024-07-07,27.82,29.94,26.52,90.24,5.6,58.64
2024-07-08,27.57,29.42,26.29,90.94,4.57,56.74
2024-07-09,26.81,28.84,24.89,89.86,3.69,40.59
2024-07-10,26.64,29.6,24.29,88.75,3.5,13.21
2024-07-11,27.37,30.0,25.06,90.23,4.36,20.43
2024-07-12,27.18,28.62,26.23,92.96,5.13,80.45
2024-07-13,27.02,28.1,26.44,93.15,7.05,92.31
2024-07-14,27.19,28.52,26.04,93.61,5.78,53.06
2024-07-15,27.1,29.09,25.18,90.44,3.11,30.52
2024-07-16,25.83,27.43,24.57,89.18,3.16,9.37
2024-07-17,26.79,28.62,24.84,92.55,6.19,25.98
2024-07-18,26.76,28.1,25.98,93.73,7.07,48.74
2024-07-19,26.71,27.93,25.9,93.1,6.85,43.23
2024-07-20,26.47,27.34,25.84,94.34,6.74,69.62
2024-07-21,26.69,27.73,25.94,94.25,5.95,87.64
2024-07-22,26.29,27.48,25.42,94.02,6.19,70.85
2024-07-23,26.54,27.88,25.83,93.88,6.66,61.65
2024-07-24,26.42,27.58,25.8,93.67,6.73,67.36
2024-07-25,25.95,26.82,25.1,92.44,7.29,142.54
2024-07-26,26.44,27.94,25.07,92.1,7.28,21.55
2024-07-27,26.48,27.92,25.45,92.19,6.52,13.78
2024-07-28,26.18,27.3,25.31,93.55,6.02,28.97
2024-07-29,26.35,27.61,25.56,93.76,5.69,41.28
2024-07-30,26.82,28.81,25.5,92.31,5.39,33.89
2024-07-31,27.03,29.24,25.16,92.2,4.83,21.69
2024-08-01,26.74,28.42,25.64,92.64,5.88,28.05
2024-08-02,26.3,27.45,25.47,93.4,6.56,33.26
2024-08-03,26.01,27.08,25.22,93.59,7.56,103.94
2024-08-04,25.98,26.97,25.34,94.4,6.23,41.18
2024-08-05,26.38,28.33,25.17,92.21,5.81,19.7
2024-08-06,26.34,28.27,24.91,91.47,5.13,17.03
2024-08-07,26.55,28.9,24.67,90.71,4.4,11.21
2024-08-08,26.54,28.79,24.89,90.23,4.33,8.99
2024-08-09,26.75,29.28,24.93,90.92,4.22,11.6
2024-08-10,26.63,29.22,24.73,90.84,3.96,9.25
2024-08-11,26.53,28.64,25.01,90.56,4.37,8.32
2024-08-12,26.79,29.38,24.95,89.99,4.08,3.94
2024-08-13,26.97,29.7,24.76,89.53,3.33,2.71
2024-08-14,27.08,30.21,24.77,88.25,2.64,1.02
2024-08-15,27.09,29.92,24.8,88.32,2.77,0.64
2024-08-16,27.24,29.96,25.27,88.44,2.59,1.28
2024-08-17,27.47,30.76,25.14,86.03,1.78,20.13
2024-08-18,27.39,30.55,24.74,89.45,2.6,42.32
2024-08-19,26.87,28.39,25.54,94.14,2.96,19.39
2024-08-20,27.19,29.48,25.67,91.72,2.95,5.64
2024-08-21,27.66,31.07,25.14,88.12,2.06,2.15
2024-08-22,27.83,31.55,25.3,88.44,1.61,3.98
2024-08-23,27.73,30.61,25.66,88.86,2.15,15.2
2024-08-24,26.4,27.81,25.59,93.2,4.21,67.52
2024-08-25,26.29,27.69,25.19,92.45,6.09,58.74
2024-08-26,26.5,27.52,25.78,92.6,6.64,34.42
2024-08-27,26.63,28.37,25.49,90.55,7.83,23.38
2024-08-28,26.6,28.43,25.03,91.1,7.3,15.4
2024-08-29,26.75,28.82,25.56,90.64,6.48,7.8
2024-08-30,26.84,29.17,25.25,89.7,4.71,7.34
2024-08-31,26.49,28.91,24.7,90.24,3.25,3.64
2024-09-01,26.25,28.31,24.53,92.21,3.18,2.75
2024-09-02,25.49,26.87,23.96,93.82,3.38,21.39
2024-09-03,25.13,26.54,23.51,92.46,2.3,13.67
2024-09-04,26.79,29.04,25.19,91.26,5.05,15.46
2024-09-05,26.82,28.89,25.49,91.2,5.19,21.4
2024-09-06,26.79,29.35,25.03,89.96,5.07,14.01
2024-09-07,26.54,29.23,24.7,90.29,3.95,16.13
2024-09-08,26.49,29.05,24.59,91.03,3.42,6.61
2024-09-09,26.79,29.7,24.7,89.52,3.27,9.06
2024-09-10,26.55,29.15,24.71,89.76,3.4,8.47
2024-09-11,26.4,29.09,24.67,90.24,3.77,9.33
2024-09-12,26.39,29.05,24.37,89.71,4.13,6.03
2024-09-13,25.8,28.71,23.7,89.37,3.6,2.91
2024-09-14,26.21,29.15,24.03,87.76,3.76,10.11
2024-09-15,26.39,29.57,24.34,86.78,3.47,11.88
2024-09-16,26.27,29.65,23.91,83.69,2.23,3.16
2024-09-17,25.76,29.32,23.36,84.92,2.81,2.3
2024-09-18,26.0,29.39,23.36,83.9,1.79,0.99
2024-09-19,26.17,29.39,24.15,83.13,1.56,0.1
2024-09-20,26.69,30.15,24.16,83.19,1.75,0.29
2024-09-21,26.57,29.96,24.19,87.2,2.77,0.48
2024-09-22,26.78,30.28,24.52,89.71,3.65,8.46
2024-09-23,27.19,30.16,25.23,91.7,3.46,22.04
2024-09-24,26.73,28.13,26.07,94.3,4.76,45.96
2024-09-25,26.49,27.55,25.3,94.67,5.03,70.9
2024-09-26,26.37,28.61,24.97,92.91,3.58,74.73
2024-09-27,26.27,27.73,25.3,93.29,5.35,66.92
2024-09-28,26.42,28.73,24.84,90.08,3.66,9.71
2024-09-29,26.23,28.97,24.05,90.79,2.77,4.17
2024-09-30,27.33,31.21,24.39,85.53,1.44,1.09
2024-10-01,27.9,32.41,24.17,87.09,2.0,0.5
2024-10-02,27.7,31.36,25.06,89.93,2.11,2.4
2024-10-03,27.26,30.39,24.98,88.56,1.96,1.13
2024-10-04,26.61,30.2,24.02,87.78,2.2,0.18
2024-10-05,26.81,30.78,24.15,85.06,1.88,0.04
2024-10-06,27.57,32.44,22.96,83.32,2.45,6.54
2024-10-07,27.97,32.93,24.01,79.1,3.15,0.39
2024-10-08,27.62,32.34,23.32,80.74,2.77,2.08
2024-10-09,26.2,28.52,24.21,88.78,2.29,7.3
2024-10-10,26.99,31.04,24.14,86.82,2.72,43.1
2024-10-11,27.61,31.98,24.21,86.08,2.98,34.61
2024-10-12,28.12,32.5,24.67,85.78,2.73,1.62
2024-10-13,28.33,31.73,25.66,85.84,1.79,34.7
2024-10-14,28.37,33.17,24.54,83.15,2.24,5.03
2024-10-15,27.96,31.48,25.26,87.6,2.17,9.34
2024-10-16,28.32,32.19,25.16,85.22,2.07,6.89
2024-10-17,27.86,31.37,25.04,86.8,2.5,3.83
2024-10-18,27.45,31.73,23.95,87.62,3.02,6.57
2024-10-19,26.97,29.16,25.55,90.54,1.9,7.19
2024-10-20,27.86,31.41,24.21,82.63,1.78,11.86
2024-10-21,26.63,30.19,23.15,84.35,2.49,1.25
2024-10-22,27.75,32.15,24.2,82.22,2.04,4.38
2024-10-23,27.64,32.14,24.07,83.21,2.43,1.97
2024-10-24,27.14,32.68,22.93,77.82,2.78,0.03
2024-10-25,26.19,32.41,21.6,73.8,3.02,0.0
2024-10-26,25.64,31.79,20.74,76.57,3.25,0.0
2024-10-27,25.39,30.62,20.27,78.1,2.66,0.0
2024-10-28,26.2,31.12,21.42,80.14,2.0,0.0
2024-10-29,26.55,31.4,22.17,80.71,2.19,0.97
2024-10-30,26.81,31.94,22.14,76.92,2.26,0.84
2024-10-31,26.97,32.59,22.32,76.86,3.0,0.04
2024-11-01,26.46,32.31,21.62,74.52,3.23,0.01
2024-11-02,26.0,32.94,20.76,69.49,3.41,0.0
2024-11-03,25.41,31.45,20.33,71.67,3.34,0.0
2024-11-04,25.66,31.8,20.31,72.21,3.33,0.0
2024-11-05,25.49,31.24,20.57,73.02,3.33,0.0
2024-11-06,25.21,32.36,20.25,72.65,3.5,0.0
2024-11-07,24.71,31.64,19.25,74.86,3.82,0.0
2024-11-08,25.03,31.12,20.09,75.02,3.59,0.0
2024-11-09,24.93,31.38,19.73,73.55,3.6,0.0
2024-11-10,24.86,31.28,19.96,73.69,3.4,0.0
2024-11-11,24.12,29.92,19.72,73.58,3.6,0.0
2024-11-12,23.46,29.72,18.85,73.79,4.09,0.0
2024-11-13,23.67,30.73,17.96,74.31,3.97,0.0
2024-11-14,24.65,31.18,18.95,74.54,4.02,0.0
2024-11-15,25.4,30.09,21.21,81.1,3.08,0.45
2024-11-16,26.6,32.27,22.7,76.46,2.16,0.05
2024-11-17,25.51,31.31,21.01,75.89,3.65,0.0
2024-11-18,23.24,30.2,17.84,69.04,4.27,0.01
2024-11-19,22.21,29.07,17.04,71.65,4.19,0.0
2024-11-20,22.0,29.23,16.58,71.79,4.08,0.0
2024-11-21,22.25,29.31,16.56,70.82,3.17,0.0
2024-11-22,22.62,29.51,16.89,70.06,2.84,0.0
2024-11-23,22.92,29.81,16.67,67.02,2.44,0.0
2024-11-24,22.82,29.62,16.9,69.37,2.6,0.0
2024-11-25,22.2,29.01,16.81,70.94,3.75,0.0
2024-11-26,21.17,28.49,15.73,70.21,4.63,0.0
2024-11-27,20.93,28.31,15.45,68.4,4.74,0.0
2024-11-28,20.65,28.22,15.41,68.97,5.04,0.01
2024-11-29,20.11,28.21,13.76,65.87,4.47,0.06
2024-11-30,21.33,29.68,14.47,66.75,3.68,0.0
2024-12-01,23.6,30.18,18.37,79.06,3.09,0.02
2024-12-02,25.36,31.16,21.06,80.17,3.4,0.24
2024-12-03,26.48,31.88,22.47,79.17,3.7,1.14
2024-12-04,26.73,31.9,23.07,82.0,3.05,2.52
2024-12-05,26.72,32.12,22.95,80.89,3.05,0.21
2024-12-06,26.42,31.61,22.86,81.52,2.35,0.02
2024-12-07,24.28,30.41,19.72,76.06,3.05,0.0
2024-12-08,21.71,28.58,16.5,66.95,3.07,0.0
2024-12-09,19.77,28.4,13.19,61.51,3.95,0.0
2024-12-10,20.98,29.63,13.16,62.27,4.07,0.0
2024-12-11,22.4,30.44,16.09,69.82,3.32,0.0
2024-12-12,22.05,29.39,16.21,67.08,2.75,0.0
2024-12-13,21.3,29.36,15.33,66.42,4.82,0.0
2024-12-14,20.8,29.17,13.75,62.04,4.98,0.17
2024-12-15,21.25,30.28,13.73,58.84,4.42,0.23
2024-12-16,21.04,30.48,13.51,53.07,4.01,0.0
2024-12-17,21.06,30.41,13.49,54.29,3.12,0.0
2024-12-18,21.49,30.04,14.39,53.8,2.83,0.0
2024-12-19,21.43,30.33,14.88,62.33,3.05,0.0
2024-12-20,21.72,28.27,17.3,74.79,2.13,0.0
2024-12-21,21.95,28.53,16.3,77.32,2.23,0.0
2024-12-22,22.25,27.7,17.98,84.68,2.31,0.02
